section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010300106,00,България,01,Благоевград,03,Благоевград,,,106,4279,гр. Благоевград,"Детска градина №10 ""Мак"", ул. ""Стоимен календерски"" №015",403,1,0,0,0
010300107,00,България,01,Благоевград,03,Благоевград,,,107,4279,гр. Благоевград,"Детска градина №4 ""Роса"", ул. ""Менча кърничева"" №039",383,1,0,0,0
010300108,00,България,01,Благоевград,03,Благоевград,,,108,4279,гр. Благоевград,"Детска градина №3 ""Усмивка"", ул. ""Освобождение"" №009",552,1,0,0,0
010300109,00,България,01,Благоевград,03,Благоевград,,,109,4279,гр. Благоевград,"Детска градина №4 ""Първи Юни"", ул. ""Яне Сандански"" №005",541,1,0,0,0
010300110,00,България,01,Благоевград,03,Благоевград,,,110,4279,гр. Благоевград,"VI СУ ""Иван Вазов"", ул. ""Яне Сандански"" №001",466,1,0,0,0
010300111,00,България,01,Благоевград,03,Благоевград,,,111,4279,гр. Благоевград,"IX основно училище""Пейо Яворов"", ж.к. ""Ален Мак""",607,1,0,0,0
010300112,00,България,01,Благоевград,03,Благоевград,,,112,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",689,1,0,0,0
010300113,00,България,01,Благоевград,03,Благоевград,,,113,4279,гр. Благоевград,"XI основно училище""Христо Ботев"", ж.к. ""Еленово""",577,1,0,0,0
010300114,00,България,01,Благоевград,03,Благоевград,,,114,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",533,1,0,0,0
010300115,00,България,01,Благоевград,03,Благоевград,,,115,4279,гр. Благоевград,"VIII СУ ""Арсений Костенцев"", ж.к. ""Еленово""",565,1,0,0,0
010300116,00,България,01,Благоевград,03,Благоевград,,,116,4217,с. Бистрица,Кметство,542,1,0,0,0
010300117,00,България,01,Благоевград,03,Благоевград,,,117,17004,с. Горно Хърсово,Кметство,494,1,0,0,0
010300118,00,България,01,Благоевград,03,Благоевград,,,118,47370,с. Марулево,Кметство,507,1,0,0,0
010300119,00,България,01,Благоевград,03,Благоевград,,,119,134,с. Изгрев,Кметство,618,1,0,0,0
010300120,00,България,01,Благоевград,03,Благоевград,,,120,78464,с. Церово,Кметство,605,1,0,0,0
010300121,00,България,01,Благоевград,03,Благоевград,,,121,57159,с. Покровник,Кметство,2979,1,0,0,0
010300122,00,България,01,Благоевград,03,Благоевград,,,122,49179,с. Мощанец,Кметство,24,0,0,0,0
010300123,00,България,01,Благоевград,03,Благоевград,,,123,55107,с. Падеш,Кметство,473,1,0,0,0
010300124,00,България,01,Благоевград,03,Благоевград,,,124,20540,с. Делвино,Кметство,534,1,0,0,0
010300125,00,България,01,Благоевград,03,Благоевград,,,125,14204,с. Габрово,Кметство,696,1,0,0,0
010300126,00,България,01,Благоевград,03,Благоевград,,,126,20328,с. Дебочица,Кметство,51,0,0,0,0
010300127,00,България,01,Благоевград,03,Благоевград,,,127,43520,с. Лешко,Кметство,546,1,0,0,0
010300128,00,България,01,Благоевград,03,Благоевград,,,128,43520,с. Лешко,Старото кметство (горно лешко),718,1,0,0,0
